Name,Path,Rarity
Omar,clash_royale_images/Omar.jpg,common
Aditya,clash_royale_images/Aditya.jpg,rare
Daud,clash_royale_images/Daud.jpg,epic
Cooper,clash_royale_images/Cooper.jpg,legendary
Khaw Ti,clash_royale_images/Khaw Ti.jpg,champion
Samira,clash_royale_images/Samira.jpg,common
Esha,clash_royale_images/Esha.jpg,rare
Caroline,clash_royale_images/Caroline.jpg,epic
Abass,clash_royale_images/Abass.jpg,legendary
Jake,clash_royale_images/Jake.jpg,champion
Sandeep,clash_royale_images/Sandeep.jpg,common
Boaz,clash_royale_images/Boaz.jpg,rare
Juan,clash_royale_images/Juan.jpg,epic
Gabriel,clash_royale_images/Gabriel.jpg,legendary
Connie,clash_royale_images/Connie.jpg,champion
Disha,clash_royale_images/Disha.jpg,common
Maya,clash_royale_images/Maya.jpg,rare
Daphney,clash_royale_images/Daphney.jpg,epic
Avery,clash_royale_images/Avery.jpg,legendary
Blaire,clash_royale_images/Blaire.jpg,champion
Hayden,clash_royale_images/Hayden.jpg,common
Matthew,clash_royale_images/Matthew.jpg,rare
Nico,clash_royale_images/Nico.jpg,epic
Samrah,clash_royale_images/Samrah.jpg,legendary
Huda,clash_royale_images/Huda.jpg,champion
Abby,clash_royale_images/Abby.jpg,common
Ainsley,clash_royale_images/Ainsley.jpg,rare
Samirah,clash_royale_images/Samirah.jpg,epic
Ann,clash_royale_images/Ann.jpg,legendary
Han,clash_royale_images/Han.jpg,champion
Pritee,clash_royale_images/Pritee.jpg,common
Riti,clash_royale_images/Riti.jpg,rare
Lily,clash_royale_images/Lily.jpg,epic
Tenin,clash_royale_images/Tenin.jpg,legendary
Bridget,clash_royale_images/Bridget.jpg,champion
Sonam,clash_royale_images/Sonam.jpg,common
Michael,clash_royale_images/Michael.jpg,rare
Tyler,clash_royale_images/Tyler.jpg,epic
Logan,clash_royale_images/Logan.jpg,legendary
Fardeen,clash_royale_images/Fardeen.jpg,champion
Rubric,clash_royale_images/Rubric.jpg,common
Varun,clash_royale_images/Varun.jpg,rare
Cindy,clash_royale_images/Cindy.jpg,epic
Kevin,clash_royale_images/Kevin.jpg,legendary
Durga,clash_royale_images/Durga.jpg,champion
Angela,clash_royale_images/Angela.jpg,common
Aminta,clash_royale_images/Aminta.jpg,rare
Kiran,clash_royale_images/Kiran.jpg,epic
Ojaswi,clash_royale_images/Ojaswi.jpg,legendary
Isabelle,clash_royale_images/Isabelle.jpg,champion
Dhuhaa,clash_royale_images/Dhuhaa.jpg,common
Jahmel,clash_royale_images/Jahmel.jpg,rare
Zachary,clash_royale_images/Zachary.jpg,epic
Ariel,clash_royale_images/Ariel.jpg,legendary
Larissa,clash_royale_images/Larissa.jpg,champion
Jazzlynn,clash_royale_images/Jazzlynn.jpg,common
Benson,clash_royale_images/Benson.jpg,rare
Sun Yuan,clash_royale_images/Sun Yuan.jpg,epic
